NOMBRE,INDUSTRIA/SECTOR,TAMAÑO POR EMPLEADOS,EDAD MEDIA,PERFIL MAYORITARIO (BLUE COLLAR & WHITE COLLAR),% DE ADHESIÓN BENEFICIO COMIDA,% DE ADHESIÓN BENEFICIO SALUD,% DE ADHESIÓN BENEFICIO GUARDERÍA,% DE ADHESIÓN BENEFICIO TRANSPORTE,% DE ADHESIÓN BENEFICIO FORMACIÓN
TechNova,Tecnología,250-500,34,White Collar,72,88,25,60,78
Industrias Arcos,Manufactura,500-1000,41,Blue Collar,58,62,18,50,45
GreenFarm,Agroindustria,100-250,38,Blue Collar,63,70,22,55,60
BuildWell,Construcción,1000-5000,44,Blue Collar,45,50,15,48,38
MediCore,Sanidad,250-500,36,White Collar,80,91,30,65,82
FinSolutions,Finanzas,100-250,39,White Collar,76,85,27,59,80
TransLogix,Logística,500-1000,40,Blue Collar,55,60,20,53,50
EduPlus,Educación,100-250,35,White Collar,67,74,26,62,79
FoodChain,Alimentación,1000-5000,42,Blue Collar,49,52,17,47,42
SecureIT,Ciberseguridad,250-500,33,White Collar,70,89,28,61,83
DataSphere,Tecnología,250-500,32,White Collar,71,87,24,59,77
SteelCraft,Manufactura,500-1000,42,Blue Collar,57,61,17,49,44
AgroVida,Agroindustria,100-250,39,Blue Collar,62,69,21,54,58
UrbanBuild,Construcción,1000-5000,43,Blue Collar,44,49,14,47,37
HealthPrime,Sanidad,250-500,37,White Collar,79,90,29,64,81
WealthBank,Finanzas,100-250,38,White Collar,75,84,26,58,79
FleetMove,Logística,500-1000,41,Blue Collar,54,59,19,52,49
LearnHub,Educación,100-250,34,White Collar,66,73,25,61,78
FreshGoods,Alimentación,1000-5000,41,Blue Collar,48,51,16,46,41
CyberShield,Ciberseguridad,250-500,32,White Collar,69,88,27,60,82
CloudNova,Tecnología,250-500,33,White Collar,70,86,23,58,76
MetalWorks,Manufactura,500-1000,40,Blue Collar,56,60,18,50,46
HarvestPlus,Agroindustria,100-250,37,Blue Collar,61,68,20,53,57
SkyTower,Construcción,1000-5000,45,Blue Collar,43,48,13,45,36
MediCare+,Sanidad,250-500,35,White Collar,78,89,28,63,80
CapitalFirst,Finanzas,100-250,40,White Collar,74,83,25,57,77
QuickShip,Logística,500-1000,39,Blue Collar,53,58,18,51,48
EduFuture,Educación,100-250,36,White Collar,65,72,24,60,75
TastyBites,Alimentación,1000-5000,40,Blue Collar,47,50,15,44,40
NetSecure,Ciberseguridad,250-500,34,White Collar,68,87,26,59,81
AIInnovate,Tecnología,250-500,31,White Collar,73,85,22,57,78
PrecisionParts,Manufactura,500-1000,43,Blue Collar,55,59,17,48,43
GoldenFields,Agroindustria,100-250,38,Blue Collar,60,67,19,52,55
StrongBase,Construcción,1000-5000,44,Blue Collar,42,47,12,43,35
LifeCare,Sanidad,250-500,36,White Collar,77,88,27,62,79
MoneyPlus,Finanzas,100-250,37,White Collar,73,82,24,56,76
GlobalTrans,Logística,500-1000,40,Blue Collar,52,57,17,49,47
SmartEdu,Educación,100-250,35,White Collar,64,71,23,59,74
DailyFoods,Alimentación,1000-5000,39,Blue Collar,46,49,14,42,39
SafeNet,Ciberseguridad,250-500,33,White Collar,67,86,25,58,80
FutureTech,Tecnología,250-500,34,White Collar,72,84,21,56,77
AutoPartsCo,Manufactura,500-1000,41,Blue Collar,54,58,16,47,42
GreenHarvest,Agroindustria,100-250,36,Blue Collar,59,66,18,51,54
MegaBuild,Construcción,1000-5000,42,Blue Collar,41,46,11,41,34
WellnessMed,Sanidad,250-500,37,White Collar,76,87,26,61,78
InvestRight,Finanzas,100-250,39,White Collar,72,81,23,55,75
ExpressLogix,Logística,500-1000,38,Blue Collar,51,56,16,48,46
NextGenEdu,Educación,100-250,34,White Collar,63,70,22,58,73
QualityFoods,Alimentación,1000-5000,38,Blue Collar,45,48,13,40,38
DataGuard,Ciberseguridad,250-500,32,White Collar,66,85,24,57,79
NanoTech,Tecnología,250-500,35,White Collar,71,83,20,55,76
HeavyMetal,Manufactura,500-1000,44,Blue Collar,53,57,15,46,41
OrganicLife,Agroindustria,100-250,37,Blue Collar,58,65,17,50,53
CityConstruct,Construcción,1000-5000,41,Blue Collar,40,45,10,39,33
PrimeHealth,Sanidad,250-500,38,White Collar,75,86,25,60,77
FirstCapital,Finanzas,100-250,36,White Collar,71,80,22,54,74
SwiftMove,Logística,500-1000,42,Blue Collar,50,55,15,47,45
EduSmart,Educación,100-250,33,White Collar,62,69,21,57,72
NutriFood,Alimentación,1000-5000,37,Blue Collar,44,47,12,38,37
InfoShield,Ciberseguridad,250-500,35,White Collar,65,84,23,56,78